Timestamp,Source IP,Destination IP,Protocol
2025-06-15 12:13:20,20.42.65.93,192.168.29.92,TCP
2025-06-15 12:13:22,192.168.29.92,224.0.0.22,OTHER
2025-06-15 12:13:23,104.199.241.202,192.168.29.92,TCP
2025-06-15 12:13:23,192.168.29.92,104.199.241.202,TCP
2025-06-15 12:13:25,192.168.29.92,192.168.29.255,UDP
2025-06-15 12:13:27,192.168.29.1,192.168.29.92,UDP
2025-06-15 12:13:34,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:34,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:34,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:35,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:35,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:35,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:35,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:36,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:37,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:37,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:37,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:38,192.168.29.1,224.0.0.1,OTHER
2025-06-15 12:13:39,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:39,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:39,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:40,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:40,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:40,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:40,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:40,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:40,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:40,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:40,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:41,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:41,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:41,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:41,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:41,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:41,192.168.29.92,192.168.29.1,TCP
2025-06-15 12:13:41,192.168.29.92,239.255.255.250,UDP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:42,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:42,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:42,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:42,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:42,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:42,192.168.29.92,224.0.0.22,OTHER
2025-06-15 12:13:43,192.168.29.92,239.255.255.250,UDP
2025-06-15 12:13:44,192.168.29.92,239.255.255.250,UDP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:44,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:44,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:44,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:44,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:44,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:45,192.168.29.92,239.255.255.250,UDP
2025-06-15 12:13:46,192.168.29.92,224.0.0.22,OTHER
2025-06-15 12:13:46,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:46,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:46,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:46,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:46,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:46,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:47,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:47,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:47,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:47,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:47,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:47,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:47,192.168.29.92,224.0.0.22,OTHER
2025-06-15 12:13:47,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:47,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:49,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:49,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:49,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:49,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:49,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:49,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:49,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:49,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:49,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:49,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:51,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:51,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:51,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:51,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:51,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:51,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:51,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:51,13.89.179.10,192.168.29.92,TCP
2025-06-15 12:13:51,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:53,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:53,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:53,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:53,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:53,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:53,192.168.29.92,13.89.179.10,TCP
2025-06-15 12:13:53,13.89.179.10,192.168.29.92,TCP
